Card Name	Card Level	Obtain by Card Command	Obtain by Triple Triad	Drop From Monster	Card Mod Item
Quistis	10		Win from any one of the Trepies in the Balamb Garden classroom or cafeteria. Win from the CC Group in the Ragnarok airship in endgame.		3x Samantha Soul
Red Bat	1	Red Bat	Part of the first card set	Red Bat (rare)	1x Vampire Fang
Red Giant	7	Chimera (rare) Forbidden (rare)			5x Meteor Stone
Rinoa	10		Win from General Caraway after losing the Ifrit card to him. Win from the CC Group in the Ragnarok airship in endgame.		3x Magic Armlet
Ruby Dragon	5	Ruby Dragon		Ruby Dragon	1x Inferno Fang
Sacred	8		Win from the CC Group in the Ragnarok airship in endgame.	Minotaur	100x Dino Bone
SAM08G	3	SAM08G		SAM08G (rare)	1x Running Fire
Seifer	10		"Win from Headmaster Cid at Balamb Garden office, or Edea's House. Win from the CC Group in the Ragnarok airship in endgame."		3x Diamond Armor
Selphie	10		Win from Selphie's Friend in Trabia Garden. Win from the CC Group in the Ragnarok airship in endgame.		100x Elem Guard
Shiva	8		Trade The Girl Next Door magazine with Zone for free on the White SeeD Ship. Win from the CC Group in the Ragnarok airship in endgame.		100x North Wind
Shumi Tribe	6	T-Rexaur (rare) Grat (rare)			1x Gambler Spirit
Siren	8		Win from Pub Manager in Dollet. Win from the CC Group in the Ragnarok airship in endgame.		3x Status Atk
Snow Lion	3	Snow Lion		Snow Lion (rare)	1x North Wind
Sphinxaur	7	Adamantoise (rare) Creeps (rare)			1x G-Mega-Potion
Squall	10		"Win from Laguna at Esthar City Presidential Palace office, or onboard Ragnarok. Win from the CC Group in the Ragnarok airship in endgame."		10x Three Stars
T-Rexaur	4	T-Rexaur		T-Rexaur (rare)	1x Dino Bone
Thrustaevis	2	Thrustaevis		Thrustaevis (rare)	1x Shear Feather
Tiamat	7	Hexadragon (rare) Grendel (rare)			10x Flare Stone
Tonberry	3	Tonberry		Tonberry (rare)	1x Chef's Knife
Tonberry King	5	Fastitocalon (rare) Malboro (rare)			1x Chef's Knife
Torama	4	Torama		Torama (rare)	1x Life Ring
Trauma	6	Turtapod (rare) Caterchipillar (rare)			30x Demolition
Tri-Face	3	Tri-Face		Tri-Face (rare)	1x Curse Spike
Tri-Point	7	Torama (rare) Belhelmel (rare)			1x Jet Engine
Turtapod	4	Turtapod		Turtapod (rare)	1x Healing Mail
Ultima Weapon	7	Elastoid (rare) Tri-Face (rare)			1x Ultima Stone
Vysage	4			Vysage (rare) Lefty (rare) Righty (rare)	1x Wizard Stone
Ward	10		Win from Dr. Odine in Esthar City. Win from the CC Group in the Ragnarok airship in endgame.		3x Gaea's Ring
Wedge & Biggs	5	Snow Lion (rare) Funguar (rare)			1x X-Potion
Wendigo	4	Wendigo		Wendigo (rare)	1x Steel Orb
X-ATM092	6	SAM08G (rare) Red Bat (rare)			1x Turtle Shell
Zell	10		Win from Ma Dincht in Balamb Town. Win from the CC Group in the Ragnarok airship in endgame.		3x Hyper Wrist
