Card Level	Player Name	Game Section	Location/Additional Info
4	Emo Kid in Green Jacket	Dollet	Harbor (come from below)
4	Son of Queen of Cards	Dollet	CQ's Father Artist's House
4	Woman near Pub	Dollet	Near the Shining Bomber Pub
4	Old Man in Pub	Dollet	2nd Floor Pub
4	Pub's Owner	Dollet	Beat him -> Private Room
4	Travelling Lady from FH	Deling City	Across the street of Hotel
4	Person near General Shop	Deling City	In the street with Shops
4	Man in Black	Deling City	Across the Junk Shop
4	General Caraway	Deling City	Caraway's Mansion
4	Train Conductor	Deling City	City Train Station
4	Familiar Face #3	Deling City	Nearby elevator going up
4	Martine	Deling City	Right from Mayor's House
4	Mayor Dobe	Deling City	Mayor's House, Upstairs
4	Grease Monkey	Deling City	Grease Monkey's House
4	Shop Owner	Winhill	Shop at southern exit
4	Hotel Owner	Winhill	In the Hotel
4	Old Man in Residence	Winhill	Residence in southern part
4	Playing Girl	Winhill	North Town Square
4	Mansion Owner	Winhill	Man on the stairs in Mansion
4	Blonde Woman	Winhill	At former Raine's House
4	Selphie's Friend	Trabia Garden	Fountain Screen (Can play
4	Girl Student	Trabia Garden	Garage Screen (after Selphie
4	Girl with book	Trabia Garden	Classroom/Monitor Screen
4	Mechanic	Trabia Garden	Monitor Screen
4	Student near rocket	Trabia Garden	Stage/Rocket Screen
4	Boy at Basketball Court	Trabia Garden	Basketball Court (after the
4	Middle Shumi	Shumi Village	Entrance Guarding Draw Point
4	Right Shumi	Shumi Village	Entrance Guarding Draw Point
4	Elder	Shumi Village	Elder's House
4	Elder's Assistant	Shumi Village	Elder's House (can no longer
4	Busy Working Shumi	Shumi Village	Sculptor's Workplace
4	Sculptor	Shumi Village	Sculptor's Workplace
4	Jack	CC-Group on Disc 4	Ragnarok (North from hangar)
4	Right Diamond	CC-Group on Disc 4	Ragnarok (Hangar)
4	Left Diamond	CC-Group on Disc 4	Ragnarok (Hangar)
4	King	CC-Group on Disc 4	Ragnarok (Air Room have Quistis in your party)
4	Queen of Cards	Lunar Crash Site	Esthar
5	Trepe Groupie #1	Balamb Garden	Cafeteria, guy in the back
5	Gatekeeper	Balamb Garden	Gate Reception
5	Trepe Groupie #2	Balamb Garden	2nd Floor Classroom
5	Trepe Groupie #3	Balamb Garden	2nd Floor Classroom
5	Cafeteria Lady	Balamb Garden	Cafeteria behind counter
5	Male Student in blue	Balamb Garden	Library, middle of room
5	Talking Student Girl	Balamb Garden	Library Reading Room
5	Ma Dincht	Balamb Town	Zell's House (Playable after
5	Galbadian Soldier	Balamb Town	Docks (Balamb Lockdown ONLY)
5	Hotel Owner	Balamb Town	In front of the Hotel
5	Girl with dog	Balamb Town	(Random) Docks
5	Student skipping class	Balamb Town	(Random) Docks
5	Chef with red shirt	Balamb Town	Docks (After Lockdown)
5	Man in Black	Deling City	Across the Junk Shop
5	Familiar Face #3	Deling City	Nearby elevator going up
5	Martine	Deling City	Right from Mayor's House
5	Flo (Mayor's Wife)	Deling City	Mayor's House, Upstairs
5	Mayor Dobe	Deling City	Mayor's House, Upstairs
5	Student Mercenary	Winhill	Nearby southern exit
5	Old Man in Residence	Winhill	Residence in southern part
5	Man on bench	Winhill	Bench on North Town Square
5	Mansion Owner	Winhill	Man on the stairs in Mansion
5	Student in green	Trabia Garden	Path near entrance (after
5	Selphie's Friend	Trabia Garden	Fountain Screen (Can play
5	Trabian Faculty	Trabia Garden	Fountain Screen (upperright)
5	Mechanic	Trabia Garden	Monitor Screen
5	Basketball Freak	Trabia Garden	Stage/Rocket Screen
5	Girl in Bikini	Trabia Garden	Basketball Court (after the
5	Left Shumi	Shumi Village	Entrance Guarding Draw Point
5	Middle Shumi	Shumi Village	Entrance Guarding Draw Point
5	Shumi at a table	Shumi Village	First Underground Screen
5	Busy Working Shumi	Shumi Village	Sculptor's Workplace
5	Sculptor	Shumi Village	Sculptor's Workplace
5	Club	CC-Group on Disc 4	Ragnarok (Aisle upstairs)
5	Right Diamond	CC-Group on Disc 4	Ragnarok (Hangar)
5	Left Diamond	CC-Group on Disc 4	Ragnarok (Hangar)
5	Heart	CC-Group on Disc 4	Ragnarok (Entrance)
5	King	CC-Group on Disc 4	Ragnarok (Air Room have Quistis in your party)
5	Queen of Cards	Lunar Crash Site	Esthar
6	Man in Black	Deling City	Across the Junk Shop
6	Familiar Face #3	Deling City	Nearby elevator going up
6	Martine	Deling City	Right from Mayor's House
6	Flo (Mayor's Wife)	Deling City	Mayor's House, Upstairs
6	Mayor Dobe	Deling City	Mayor's House, Upstairs
6	Grease Monkey	Deling City	Grease Monkey's House
6	Left Shumi	Shumi Village	Entrance Guarding Draw Point
6	Middle Shumi	Shumi Village	Entrance Guarding Draw Point
6	Right Shumi	Shumi Village	Entrance Guarding Draw Point
6	Shumi at a table	Shumi Village	First Underground Screen
6	Elder	Shumi Village	Elder's House
6	Elder's Assistant	Shumi Village	Elder's House (can no longer
6	Artisan	Shumi Village	Artisan's House (can't play
6	Busy Working Shumi	Shumi Village	Sculptor's Workplace
6	Joker	CC-Group on Disc 4	Ragnarok (Elevator Room)
6	Jack	CC-Group on Disc 4	Ragnarok (North from hangar)
6	Club	CC-Group on Disc 4	Ragnarok (Aisle upstairs)
6	Spade	CC-Group on Disc 4	Ragnarok (Aisle near hangar)
6	Heart	CC-Group on Disc 4	Ragnarok (Entrance)
6	King	CC-Group on Disc 4	Ragnarok (Air Room have Quistis in your party)
6	Queen of Cards	Lunar Crash Site	Esthar
7	Man in Black	Deling City	Across the Junk Shop
7	Martine	Deling City	Right from Mayor's House
7	Middle Shumi	Shumi Village	Entrance Guarding Draw Point
7	Elder	Shumi Village	Elder's House
7	Elder's Assistant	Shumi Village	Elder's House (can no longer
7	Artisan	Shumi Village	Artisan's House (can't play
7	Joker	CC-Group on Disc 4	Ragnarok (Elevator Room)
7	Right Diamond	CC-Group on Disc 4	Ragnarok (Hangar)
7	Left Diamond	CC-Group on Disc 4	Ragnarok (Hangar)
7	Spade	CC-Group on Disc 4	Ragnarok (Aisle near hangar)
7	Heart	CC-Group on Disc 4	Ragnarok (Entrance)
7	King	CC-Group on Disc 4	Ragnarok (Air Room have Quistis in your party)
7	Queen of Cards	Lunar Crash Site	Esthar
